Date,Symbol,Order,Shares
2008-02-28,IBM,SELL,100
2008-03-27,IBM,BUY,100
2008-04-22,IBM,SELL,100
2008-05-13,IBM,SELL,100
2008-05-16,IBM,SELL,100
2008-05-21,IBM,BUY,100
2008-07-01,IBM,BUY,100
2008-07-09,IBM,BUY,100
2008-07-21,IBM,SELL,100
2008-08-11,IBM,BUY,100
2008-08-21,IBM,BUY,100
2008-09-22,IBM,BUY,100
2008-10-13,IBM,BUY,100
2008-11-06,IBM,BUY,100
2008-11-21,IBM,BUY,100
2008-12-04,IBM,BUY,100
2009-01-07,IBM,SELL,100
2009-01-14,IBM,BUY,100
2009-01-22,IBM,SELL,100
2009-01-28,IBM,SELL,100
2009-01-29,IBM,SELL,100
2009-02-17,IBM,BUY,100
2009-02-24,IBM,BUY,100
2009-03-02,IBM,BUY,100
2009-03-25,IBM,SELL,100
2009-04-27,IBM,BUY,100
2009-05-05,IBM,SELL,100
2009-05-08,IBM,BUY,100
2009-06-02,IBM,SELL,100
2009-06-18,IBM,BUY,100
2009-07-08,IBM,BUY,100
2009-07-16,IBM,SELL,100
2009-07-22,IBM,SELL,100
2009-08-17,IBM,BUY,100
2009-09-03,IBM,BUY,100
2009-09-16,IBM,SELL,100
2009-09-17,IBM,SELL,100
2009-09-29,IBM,BUY,100
2009-10-15,IBM,SELL,100
2009-10-16,IBM,BUY,100
2009-12-14,IBM,SELL,100
2009-12-17,IBM,BUY,100
2009-12-29,IBM,SELL,100
